P22,P2002,P3,P2,P1304,P2004,P28,P803,P1303,P27,P1301,P25,P23,P802,P0A,P2001,P801,P1,CAPITAL,CCAA,P14R,P26,P4,P804,P19,TAMUNI,P1302,ESTUDIOS,P2003
2,5,-4,-2,2,7,3,-2,9,1,1,2,66,-3,1,8,-5,-2,1,16,3,5,5,-4,3,5,4,2,3
2,7,-5,-2,0,10,1,-3,0,2,0,4,36,-4,1,9,-5,-1,1,16,12,5,4,-5,3,5,0,6,5
2,4,-3,-3,1,5,1,-4,3,2,1,4,45,-1,1,7,-4,-3,1,16,2,2,3,-4,4,5,8,4,1
1,4,-3,-2,1,7,3,-4,2,1,1,2,73,-2,1,6,-4,-2,1,16,2,2,3,-4,3,5,7,5,3
2,5,-5,-2,1,7,1,-4,5,1,1,2,66,-4,1,7,-4,-1,1,16,2,5,3,-5,3,5,3,6,3
1,5,-4,-3,5,5,1,-3,6,1,2,1,38,-4,1,7,-5,-3,1,16,3,5,4,-3,4,5,5,6,4
1,5,-5,-2,4,6,1,-5,1,1,4,2,61,-3,1,6,-3,-2,1,16,11,1,3,-4,5,5,4,5,1
1,3,-5,-2,0,8,2,-4,0,1,0,1,37,-4,1,9,-4,-3,3,16,97,2,3,-4,5,2,0,5,2
1,4,-4,-1,0,10,2,-5,10,1,0,1,45,-3,1,10,-5,-2,3,16,5,4,4,-5,1,2,0,6,1
2,6,-4,-2,0,9,2,-3,0,1,0,1,53,-3,1,9,-4,-3,3,16,11,2,4,-4,5,2,0,4,2
2,4,-4,-2,0,8,2,-4,0,1,0,6,28,-4,1,8,-5,-2,3,16,11,4,3,-5,5,2,0,6,5
2,5,-4,-2,0,8,2,-4,0,2,0,1,43,-3,1,9,-4,-2,3,16,2,6,3,-3,3,2,10,6,4
2,5,-4,-1,0,9,1,-2,5,1,0,1,59,-3,1,9,-5,-1,3,16,3,2,4,-5,2,2,0,6,3
1,8,-3,-1,0,10,2,-3,7,1,0,1,52,-3,1,10,-4,-1,1,16,3,5,4,-4,2,5,0,6,4
